"nquest","ncomp","nord","sex","anasc","staciv","ireg","y"
"35682","2","2","2","1955","1","5","9"
"35682","2","2","2","1955","1","5","2"
"35788","2","1","1","1951","1","5","4"
"35788","2","2","2","1954","1","5","4"
"35968","1","1","2","1925","4","9","8"
"36067","3","1","1","1950","1","16","2"
"36067","3","1","1","1950","1","16","3"
"36067","3","2","2","1955","1","16","2"
"36067","3","2","2","1955","1","16","3"
"36067","3","3","1","1983","2","16","2"
"36067","3","3","1","1983","2","16","3"
"36130","2","1","1","1963","1","5","2"
"36130","2","1","1","1963","1","5","3"
"36130","2","2","2","1965","1","5","2"
"36130","2","2","2","1965","1","5","3"
"36164","2","1","1","1959","1","5","1"
"36164","2","1","1","1959","1","5","3"
"36164","2","2","2","1963","1","5","1"
"36164","2","2","2","1963","1","5","3"
"36186","3","1","2","1963","4","17","1"
"36186","3","1","2","1963","4","17","2"
"36186","3","2","2","1986","2","17","1"
"36186","3","2","2","1986","2","17","2"
"36186","3","3","2","2000","2","17","1"
"36186","3","3","2","2000","2","17","2"
"36250","3","1","2","1961","4","16","1"
"36250","3","1","2","1961","4","16","3"
"36250","3","2","1","1985","2","16","1"
"36250","3","2","1","1985","2","16","3"
"36250","3","3","1","1991","2","16","1"
"36250","3","3","1","1991","2","16","3"
"36321","3","1","1","1950","1","16","1"
"36321","3","1","1","1950","1","16","4"
"36321","3","2","2","1951","1","16","1"
"36321","3","2","2","1951","1","16","4"
"36321","3","3","2","1982","2","16","1"
"36321","3","3","2","1982","2","16","4"
"36333","2","1","2","1958","4","12","1"
"36333","2","1","2","1958","4","12","1"
"36333","2","2","2","1987","2","12","1"
"36333","2","2","2","1987","2","12","1"
"36378","2","1","1","1948","1","5","3"
"36378","2","1","1","1948","1","5","3"
"36378","2","2","2","1951","1","5","3"
"36378","2","2","2","1951","1","5","3"
"36403","2","1","1","1938","1","1","1"
"36403","2","1","1","1938","1","1","1"
"36403","2","2","2","1943","1","1","1"
"36403","2","2","2","1943","1","1","1"
"36409","2","1","1","1954","1","1","5"
"36409","2","1","1","1954","1","1","3"
"36409","2","2","2","1956","1","1","5"
"36409","2","2","2","1956","1","1","3"
"36443","2","1","1","1953","1","8","2"
"36443","2","1","1","1953","1","8","2"
"36443","2","2","2","1959","1","8","2"
"36443","2","2","2","1959","1","8","2"
"36450","3","1","1","1952","1","8","2"
"36450","3","1","1","1952","1","8","3"
